DateTime,Title,Summary,Source,URL,Keywords,Region,Sentiment
2024-12-03 22:27,윤석열 대통령 비상계엄 선포,윤석열 대통령이 12월 3일 밤 10시 27분 긴급 대국민담화를 통해 '종북 반국가 세력을 일거에 척결하고 자유 헌정질서를 지키기 위함'이라는 명분으로 비상계엄령을 선포했다. 국회와 지방의회의 활동을 포함해 모든 정치 활동이 금지되었으며 언론의 자유도 정지한다는 내용이 포고령에 포함되었다. 계엄군과 경찰은 국회 장악을 시도했으나 국회의원들이 본회의장에 진입해 계엄령 해제를 의결했다.,나무위키,https://namu.wiki/w/2024년_대한민국_비상계엄,"비상계엄,국회,윤석열,반국가세력,헌정질서",한국,Negative
2024-12-04 1:02,국회 계엄 해제 결의안 통과,"12월 4일 오전 1시 1분 본회의장 진입에 성공한 190명의 의원 전원이 계엄령 해제를 요구하는 결의안을 만장일치로 통과시켰다. 우원식 국회의장은 ""비상계엄 선포는 무효""라고 선언했으며 군과 경찰에게 즉시 국회를 떠날 것을 요구했다. 이재명 민주당 대표는 윤석열의 계엄 선포를 ""불법 행위""라고 규정했다.",위키백과,https://ko.wikipedia.org/wiki/2024년_대한민국_비상계엄,"국회,계엄해제,우원식,이재명,민주주의",한국,Positive
2024-12-04 4:27,윤석열 계엄 해제 선언,윤석열 대통령이 12월 4일 새벽 4시 27분 국회의 계엄 해제 요구를 수용하여 비상계엄을 해제한다고 발표했다. 6시간여 만에 계엄령이 해제되었으며 계엄사령부도 해산되었다. 그러나 야당은 즉각 탄핵 절차를 시작하겠다고 발표했다.,AP News,https://apnews.com/article/south-korea-yoon-martial-law-997c22ac93f6a9bece68454597e577c1,"계엄해제,윤석열,탄핵,야당,민주당",한국,Negative
2024-12-04 14:43,야6당 탄핵소추안 제출,더불어민주당 등 6개 야당 191명 의원이 국회 의안과를 방문하여 윤석열 대통령 탄핵소추안을 제출했다. 탄핵 사유로 위헌적 계엄 선포와 국헌 문란의 내란 행위를 지목했다. 국회는 12월 7일 표결을 예정했다.,위키문헌,https://ko.wikisource.org/wiki/대통령(윤석열)_탄핵소추안_(2024년_12월_12일),"탄핵소추,야당,국회,내란,위헌",한국,Negative
2024-12-04 15:00,리얼미터 여론조사 탄핵 찬성 73.6%,리얼미터 여론조사에서 응답자의 73.6%가 윤석열 대통령 탄핵에 찬성하며 69.5%가 계엄 선포를 내란죄에 해당한다고 답했다. 전 연령과 전 지역에서 탄핵 찬성 여론이 우세했으며 보수층에서도 찬성이 50.4%로 근소하게 앞섰다.,나무위키,https://namu.wiki/w/윤석열 대통령 탄핵소추,"여론조사,탄핵찬성,리얼미터,내란죄,민의",한국,Positive
2024-12-04 16:00,시민단체 탄핵 촉구 성명,대한변호사협회와 청소년인권운동연대 등 시민단체들이 윤석열 대통령의 탄핵을 요구하는 시국선언을 발표했다. 전국 각 대학교와 종교계도 비상계엄을 규탄하며 탄핵을 촉구했다. 시민사회 전반에서 민주주의 수호를 위한 탄핵 요구가 확산되었다.,위키백과,https://ko.wikipedia.org/wiki/2024년_윤석열_대통령_탄핵_운동,"시민단체,탄핵촉구,민주주의,시국선언,종교계",한국,Positive
2024-12-04 20:00,Human Rights Watch 탄핵 지지 성명,"국제인권단체 휴먼라이츠워치가 윤석열의 계엄 선포를 '권력 남용'으로 규정하고 국회의 탄핵 추진을 민주주의와 법치 강화로 평가했다. 아시아 디렉터는 ""한국인들의 법치와 민주주의에 대한 광범위한 지지를 반영한다""고 논평했다.",Human Rights Watch,https://www.hrw.org/news/2024/12/15/south-korea-president-impeached-abuse-power,"국제사회,인권,민주주의,법치,탄핵지지",국제,Positive
2024-12-05 9:00,국방부 장관 사퇴,계엄령 선포를 건의한 김용현 국방부 장관이 사퇴했다. 그는 계엄군의 행동에 대해 사과하고 모든 책임을 지겠다고 밝혔다. 경찰은 김 장관을 내란 혐의로 수사에 착수했으며 출국금지 조치를 내렸다.,Al Jazeera,https://www.aljazeera.com/news/2024/12/5/south-koreas-defence-minister-resigns-after-martial-law-crisis-report,"국방장관,사퇴,김용현,내란혐의,수사",한국,Negative
2024-12-05 14:00,검찰 윤석열 내란죄 수사 착수,검찰이 윤석열 대통령에 대해 내란죄 혐의로 수사에 착수했다. 야당과 시민단체가 제기한 내란 고발을 받아들여 본격 수사에 나섰다. 계엄 선포와 국회 봉쇄 시도가 헌법을 위반한 내란 행위에 해당한다는 혐의다.,한겨레,https://www.hani.co.kr/arti/politics/politics_general/1170636.html,"검찰수사,내란죄,윤석열,헌법위반,국회봉쇄",한국,Negative
2024-12-06 10:00,한동훈 탄핵 찬성 선회,"국민의힘 한동훈 대표가 계엄 당시 정치인 체포 지시가 확인됐다며 사실상 탄핵 찬성 입장으로 선회했다. 그는 ""윤 대통령의 직무를 즉각 정지시켜야 한다""고 밝혀 여당 내 균열이 가시화됐다. 조경태 의원도 탄핵 찬성을 공개 선언했다.",BBC,https://www.bbc.com/news/articles/cy8y7ggm89lo,"한동훈,국민의힘,탄핵찬성,여당분열,정치인체포",한국,Negative
2024-12-06 15:00,전국 탄핵 촉구 집회 확산,전국 각지에서 윤석열 퇴진을 요구하는 대규모 집회가 열렸다. 서울 여의도를 비롯해 대구 부산 대전 등 주요 도시에서 시민들이 탄핵을 촉구했다. 집회 참가자들은 민주주의 수호와 헌정질서 회복을 외쳤다.,나무위키,https://namu.wiki/w/2024년 윤석열 탄핵 촉구 집회,"탄핵집회,전국시위,민주주의,시민참여,여의도",한국,Positive
2024-12-07 12:00,윤석열 대국민 사과,"윤석열 대통령이 계엄 선포에 대해 사과하며 ""다시는 계엄을 선포하지 않겠다""고 약속했다. 하지만 사퇴나 탄핵에 대해서는 언급하지 않아 야당은 ""실망스러운 사과""라고 비판했다. 시민들의 탄핵 요구는 더욱 거세졌다.",Voice of America,https://www.voanews.com/a/ahead-of-impeachment-vote-yoon-apologizes-for-anxiety-over-martial-law-decree-/7890651.html,"대통령사과,계엄선포,야당비판,탄핵요구,실망",한국,Negative
2024-12-07 19:00,1차 탄핵 표결 무산,국회에서 진행된 1차 탄핵 표결이 국민의힘 의원 대부분의 불참으로 의결정족수 미달로 무산됐다. 재석 195명으로 200명에 미치지 못했다. 야당은 매주 탄핵안을 발의하겠다고 선언했으며 시민들은 국민의힘에 분노했다.,위키백과,https://ko.wikipedia.org/wiki/윤석열_대통령_탄핵소추,"탄핵표결,무산,국민의힘,불참,의결정족수",한국,Negative
2024-12-08 9:00,김용현 전 장관 긴급체포,김용현 전 국방장관이 내란 혐의로 긴급체포됐다. 그는 계엄 선포를 건의하고 군을 동원해 국회를 봉쇄하려 한 혐의를 받는다. 체포 후 구치소에서 자살 시도를 했으나 실패했다고 전해졌다.,The Korea Herald,https://www.koreaherald.com/view.php?ud=20241208050001,"김용현,긴급체포,내란혐의,자살시도,구치소",한국,Negative
2024-12-08 14:00,해외 언론 K-팝 응원봉 시위 주목,로이터 블룸버그 등 외신이 한국 탄핵 시위의 핵심 도구가 촛불에서 K-팝 응원봉으로 바뀐 점을 주목했다. SNS에서는 윤석열을 비판하는 밈과 AI 영상이 인기를 얻었다. 평화적이면서도 창의적인 시위 문화가 세계적 관심을 받았다.,위키백과,https://ko.wikipedia.org/wiki/2024년_윤석열_대통령_탄핵_운동,"K팝,응원봉시위,해외언론,평화시위,창의성",국제,Positive
2024-12-09 10:00,법무부 윤석열 출국금지,법무부가 윤석열 대통령에 대해 출국금지 조치를 내렸다. 계엄 선포와 관련한 내란 혐의 수사를 위한 조치로 현직 대통령에 대한 출국금지는 헌정 사상 초유의 일이다. 공수처도 수사에 착수했다.,France 24,https://www.france24.com/en/asia-pacific/20241231-south-korean-court-issues-arrest-warrant-for-impeached-president-yoon,"출국금지,법무부,현직대통령,내란수사,공수처",한국,Negative
2024-12-09 15:00,울산 집회 여성 폭행 사건,"울산 탄핵 촉구 집회에서 10대 남성이 집회 참가 여성 2명을 폭행하는 사건이 발생했다. 가해자는 ""시끄럽다""며 유인물을 배부하던 여성들을 공격했다. 경찰은 가해자를 체포해 조사 중이며 평화 시위를 방해하는 행위에 대한 우려가 제기됐다.",연합뉴스,https://www.yna.co.kr/view/AKR20241209003600315,"울산집회,여성폭행,평화시위,방해행위,체포",한국,Negative
2024-12-10 11:00,국회 특검법 통과,국회가 윤석열 대통령의 내란 혐의를 수사할 특별검사법을 통과시켰다. 재석 의원 210명이 찬성했으며 국민의힘 의원 23명도 찬성표를 던졌다. 특검은 계엄 선포의 위법성과 내란 혐의를 집중 수사할 예정이다.,The Korea Times,https://www.koreatimes.co.kr/www/nation/2024/12/356_388133.html,"특검법,국회통과,내란수사,여야합의,찬성표",한국,Positive
2024-12-10 16:00,CSIS 헌재 심판 전망 분석,미국 전략국제문제연구소(CSIS)가 한국 헌재의 탄핵 심판 전망을 분석했다. 현재 6명의 재판관 구성과 정치적 성향을 고려할 때 탄핵 인용 가능성이 높다고 평가했다. 180일 이내 결정이 한국 민주주의의 시험대가 될 것이라고 전망했다.,CSIS,https://www.csis.org/analysis/next-critical-step-south-koreas-impeachment-constitutional-court,"헌재심판,CSIS분석,탄핵전망,재판관구성,민주주의",미국,Negative
2024-12-11 9:00,군 지휘관들 계엄 명령 거부 증언,"특전사령관 등 군 지휘관들이 국회에서 ""의원 끌어내라""는 명령을 거부했다고 증언했다. 일선 군인들도 계엄 임무에 소극적으로 임했으며 일부는 편의점에서 시간을 보냈다고 전해졌다. 군 내부의 저항이 계엄 실패의 주요 원인으로 지목됐다.",The Korea Herald,https://www.koreaherald.com/view.php?ud=20241210050100,"군지휘관,명령거부,특전사,국회증언,군저항",한국,Positive
2024-12-11 14:00,대통령실 압수수색,경찰과 검찰이 대통령실에 대한 압수수색을 시도했으나 경호처의 저항으로 제한적 자료만 확보했다. 계엄 관련 문서와 통신 기록 확보가 목적이었으나 협조 거부로 난항을 겪었다. 수사 방해 논란이 일었다.,Guardian,https://www.theguardian.com/world/2024/dec/11/south-korea-martial-law-protests,"압수수색,대통령실,경호처저항,수사방해,자료확보",한국,Negative
2024-12-12 10:00,"윤석열 ""끝까지 싸우겠다"" 선언","윤석열 대통령이 대국민 담화에서 계엄 선포를 ""정당한 통치행위""라고 주장하며 ""끝까지 싸우겠다""고 선언했다. 야당의 국정 마비를 계엄 명분으로 내세웠으며 탄핵에 불복하겠다는 의지를 표명했다. 여론은 더욱 악화됐다.",New York Times,https://www.nytimes.com/2024/12/11/world/asia/yoon-south-korea-martial-law.html,"대국민담화,통치행위,불복선언,국정마비,여론악화",한국,Negative
2024-12-12 14:00,한동훈 탄핵 찬성 공식화,한동훈 국민의힘 대표가 윤석열 탄핵 찬성을 공식화하고 당내 의원들에게 양심에 따른 투표를 촉구했다. 서울시장 오세훈 등 지방자치단체장들도 탄핵 지지를 선언했다. 여당 내 탄핵 찬성 세력이 확대됐다.,연합뉴스,https://en.yna.co.kr/view/AEN20241212003152315,"한동훈,탄핵공식화,양심투표,오세훈,여당분열",한국,Negative
2024-12-12 15:00,2차 탄핵안 발의,야당이 2차 탄핵소추안을 발의했다. 1차안에서 논란이 된 표현들을 삭제하고 내란 직접 지시와 거부권 남용 등을 추가했다. 14일 표결 예정이며 여당 이탈표 확보가 관건으로 지목됐다.,Korea JoongAng Daily,https://koreajoongangdaily.joins.com/news/2024-12-12/national/politics/Yoon-will-firmly-face-impeachment-accuses-opposition-of-paralyzing-state-affairs-in-address/2198896,"2차탄핵안,발의,내란지시,거부권남용,표결예정",한국,Negative
2024-12-12 19:00,"선관위 ""선거 부정 근거 없다""","중앙선거관리위원회가 윤석열의 선거 부정 주장을 ""근거 없다""고 일축했다. 계엄군이 선관위를 침입한 것은 명백한 헌법 위반이며 선거 시스템은 안전하다고 밝혔다. 음모론에 기반한 계엄 명분이 허구임이 드러났다.",The Korea Herald,https://news.koreaherald.com/view.php?ud=20241212050080,"선관위,선거부정,음모론,헌법위반,허구",한국,Negative
2024-12-13 10:00,조지호 경찰청장 체포,조지호 경찰청장과 김봉식 서울경찰청장이 내란 혐의로 체포됐다. 계엄 당시 국회 봉쇄와 정치인 체포 지시를 이행한 혐의다. 경찰 수뇌부의 계엄 동조가 확인되며 책임자 처벌이 본격화됐다.,Yonhap,https://en.yna.co.kr/view/AEN20241213006300315,"경찰청장,체포,내란혐의,국회봉쇄,책임처벌",한국,Negative
2024-12-13 14:00,헌재 재판관 논란,헌법재판소 재판관 3명 공석으로 탄핵 심판 진행에 차질이 우려됐다. 여야는 재판관 임명을 둘러싸고 대립했으며 한덕수 권한대행은 합의 없이는 임명하지 않겠다고 밝혔다. 헌재 구성 문제가 새로운 쟁점으로 부상했다.,CNN,https://www.cnn.com/2024/12/27/asia/south-korea-impeachment-vote-acting-president-intl-hnk/index.html,"헌재재판관,공석,임명논란,한덕수,여야대립",한국,Negative
2024-12-13 16:00,시민들 24시간 농성,국회와 헌재 앞에서 시민들이 24시간 농성을 시작했다. 탄핵 가결을 촉구하며 밤샘 시위를 이어갔다. 추운 날씨에도 불구하고 참가자들은 민주주의 수호 의지를 보였다. 시민 참여가 정치 변화의 동력이 됐다.,한국일보,https://www.hankookilbo.com/News/Read/A2024121417010000691,"24시간농성,시민참여,밤샘시위,민주주의수호,국회앞",한국,Positive
2024-12-13 18:00,국제사회 우려 표명,UN과 미국 등 국제사회가 한국 상황에 우려를 표명했다. 민주주의 후퇴와 정치 불안정이 지역 안보에 미칠 영향을 걱정했다. 신속한 헌법적 해결을 촉구하며 한국 민주주의의 회복력에 기대를 표했다.,Reuters,https://www.reuters.com/world/asia-pacific/south-koreas-yoon-likely-be-held-solitary-cell-2025-01-15/,"국제사회,UN,미국,민주주의후퇴,안보우려",국제,Negative
2024-12-14 9:00,여의도 200만 집회,12월 14일 여의도에서 주최 측 추산 200만명이 참가한 대규모 탄핵 촉구 집회가 열렸다. 경찰 추산으로도 24.5만명이 모여 윤석열 정부 출범 이후 최대 규모를 기록했다. K-팝 음악과 응원봉이 어우러진 평화적 시위로 진행됐다.,나무위키,https://namu.wiki/w/2024년 윤석열 탄핵 촉구 집회,"200만집회,여의도,최대규모,평화시위,응원봉",한국,Positive
2024-12-14 11:00,해외 동포 탄핵 지지 성명,전 세계 한인회와 재외동포 단체들이 탄핵 지지 성명을 발표했다. 미국 유럽 일본 등지의 동포들이 민주주의 수호를 위한 탄핵을 지지한다고 밝혔다. 해외에서도 탄핵 촉구 집회가 열렸다.,Korean Times,https://www.koreatimes.co.kr/www/nation/2024/12/113_388312.html,"재외동포,한인회,탄핵지지,해외집회,민주주의",국제,Positive
